DRAW | NOAM VS STRATEGIC AI
WINNER: гщ | сг VS гщ
WINNER: PLAYER X | PLAYER X VS RANDOM AI
DRAW | PLAYER X VS STRATEGIC AI
WINNER: PLAYER X | PLAYER X VS PLAYER O
WINNER: 45 | 45 VS 1
WINNER: 12 | 21 VS 12
WINNER: PLAYER X | PLAYER X VS PLAYER O
WINNER: 1 | 1 VS 1
WINNER: 12 | 12 VS 32
WINNER: PLAYER X | PLAYER X VS RANDOM AI
WINNER: RANDOM AI | PLAYER X VS RANDOM AI
WINNER: ртл | ртл VS ртр
WINNER: FF | FF VS DD
DRAW | SD VS FD
WINNER: SD | SD VS SD
WINNER: SD | SD VS SD
WINNER: RANDOM AI | DS VS RANDOM AI
WINNER: RANDOM AI | г VS RANDOM AI
WINNER: рдр | рдр VS дро
WINNER: р | р VS р
WINNER: гвлт | гвлт VS вглт
WINNER: влт | влт VS влт
WINNER: RANDOM AI | влт VS RANDOM AI
WINNER: влт | влт VS RANDOM AI
WINNER: STRATEGIC AI | влт VS STRATEGIC AI
WINNER: STRATEGIC AI | ччч VS STRATEGIC AI
WINNER: 324 | 324 VS оцх
WINNER: PLAYER X | PLAYER X VS PLAYER O
WINNER: RANDOM AI | SDF VS RANDOM AI
WINNER: STRATEGIC AI | 1 VS STRATEGIC AI
WINNER: ORI | NOAM VS ORI
WINNER: ASDF | ASDF VS RANDOM AI
WINNER: ASDF | ASDF VS RANDOM AI
WINNER: PLAYER X | PLAYER X VS PLAYER O
WINNER: PLAYER X | PLAYER X VS STRATEGIC AI
WINNER: PLAYER X | PLAYER X VS PLAYER O
WINNER: PLAYER X | PLAYER X VS PLAYER O
WINNER: PLAYER X | PLAYER X VS PLAYER O
PLAYER X,PLAYER O,Draw
WINNER: PLAYER X | PLAYER X VS PLAYER O
WINNER: PLAYER X | PLAYER X VS PLAYER O
WINNER: PLAYER X | PLAYER X VS PLAYER O
WINNER: RANDOM AI | 21 VS RANDOM AI
WINNER: PLAYER X | PLAYER X VS PLAYER O
WINNER: PLAYER X | PLAYER X VS PLAYER O
WINNER: STRATEGIC AI | PLAYER X VS STRATEGIC AI
WINNER: PLAYER X | PLAYER X VS PLAYER O
WINNER: PLAYER X | PLAYER X VS RANDOM AI
WINNER: PLAYER X | PLAYER X VS PLAYER O
WINNER: PLAYER X | PLAYER X VS PLAYER O
WINNER: PLAYER X | PLAYER X VS RANDOM AI
WINNER: PLAYER X | PLAYER X VS PLAYER O
DRAW | PLAYER X VS STRATEGIC AI
WINNER: STRATEGIC AI | PLAYER X VS STRATEGIC AI
DRAW | PLAYER X VS STRATEGIC AI
DRAW | PLAYER X VS STRATEGIC AI
DRAW | PLAYER X VS STRATEGIC AI
DRAW | PLAYER X VS STRATEGIC AI
WINNER: STRATEGIC AI | PLAYER X VS STRATEGIC AI
WINNER: ртн | ртн VS аешй
DRAW | NOAM VS RANDOM AI
WINNER: NOAM | NOAM VS RANDOM AI
WINNER: NOAM | NOAM VS RANDOM AI
WINNER: PLAYER X | PLAYER X VS RANDOM AI
WINNER: PLAYER X | PLAYER X VS PLAYER O
WINNER: STRATEGIC AI | PLAYER X VS STRATEGIC AI
WINNER: RANDOM AI | PLAYER X VS RANDOM AI
WINNER: PLAYER X | PLAYER X VS RANDOM AI
WINNER: RANDOM AI | PLAYER X VS RANDOM AI
WINNER: PLAYER X | PLAYER X VS RANDOM AI
WINNER: STRATEGIC AI | PLAYER X VS STRATEGIC AI
WINNER: PLAYER X | PLAYER X VS PLAYER O
WINNER: р | р VS PLAYER O
WINNER: STRATEGIC AI | PLAYER X VS STRATEGIC AI
WINNER: PLAYER X | PLAYER X VS PLAYER O
WINNER: PLAYER X | PLAYER X VS PLAYER O
WINNER: PLAYER X | PLAYER X VS RANDOM AI
WINNER: STRATEGIC AI | PLAYER X VS STRATEGIC AI
WINNER: STRATEGIC AI | PLAYER X VS STRATEGIC AI
WINNER: PLAYER X | PLAYER X VS RANDOM AI
WINNER: PLAYER X | PLAYER X VS RANDOM AI
WINNER: PLAYER O | PLAYER X VS PLAYER O
